OrderID,OrderDate,ProductID,CustomerID,Region,Channel,Quantity,UnitPrice,Discount
O001,2024-01-05,P01,C01,Bắc,Online,2,15900000,0.05
O002,2024-01-18,P03,C04,Nam,Store,1,8900000,0
O003,2024-02-03,P02,C02,Trung,Online,3,12500000,0.10
O004,2024-02-19,P05,C06,Bắc,Partner,4,790000,0.05
O005,2024-03-02,P04,C03,Nam,Store,2,2490000,0
O006,2024-03-23,P01,C05,Trung,Online,1,15900000,0.08
O007,2024-04-08,P06,C01,Bắc,Store,5,490000,0
O008,2024-04-27,P03,C07,Nam,Online,2,8900000,0.12
O009,2024-05-11,P02,C08,Trung,Partner,1,12500000,0.05
O010,2024-05-29,P05,C02,Bắc,Online,6,790000,0
O011,2024-06-14,P04,C04,Nam,Store,3,2490000,0.10
O012,2024-06-25,P06,C06,Trung,Online,8,490000,0.05
O013,2024-07-09,P01,C03,Bắc,Partner,2,15900000,0.15
O014,2024-07-20,P03,C05,Nam,Online,1,8900000,0
O015,2024-08-06,P02,C07,Trung,Store,2,12500000,0.08
O016,2024-08-28,P05,C08,Bắc,Online,5,790000,0.05
O017,2024-09-12,P04,C01,Nam,Partner,4,2490000,0.12
O018,2024-09-30,P06,C04,Trung,Store,10,490000,0
O019,2024-10-07,P01,C06,Bắc,Online,1,15900000,0.10
O020,2024-10-24,P03,C02,Nam,Store,3,8900000,0.05
O021,2024-11-10,P02,C05,Trung,Online,2,12500000,0
O022,2024-11-26,P05,C03,Bắc,Partner,7,790000,0.08
O023,2024-12-12,P04,C08,Nam,Online,2,2490000,0.05
O024,2024-12-29,P06,C07,Trung,Store,9,490000,0.10
O025,2025-01-08,P01,C02,Bắc,Online,3,15900000,0.12
O026,2025-01-21,P03,C06,Nam,Partner,2,8900000,0.05
O027,2025-02-07,P02,C04,Trung,Store,2,12500000,0
O028,2025-02-22,P05,C01,Bắc,Online,8,790000,0.10
O029,2025-03-10,P04,C07,Nam,Store,5,2490000,0.05
O030,2025-03-25,P06,C05,Trung,Online,12,490000,0
